LOCAL 2024-02-11 17:08:06 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::RPURVNKU8YWTS::Ah!!!! My Gummi's .Love, love, love them. Do they come in a 10lb bag?::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:06 INFO  Worker:68 - Sentiment analysis result: 2
LOCAL 2024-02-11 17:08:06 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RJ62XWHGDIF7::As soon as I got this package, I gave it to my 18 month old son to open and he made me read it to him about a dozen times. He loves it! He's obsessed with his belly button, so this is the perfect book for him. He's also obsessed with peek-a-boo, so he loves lifting the flaps. It was a definite hit!::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:07 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R33DK4T6EHUIHX::Does a nice job of showing your child where different body parts are in a cute manner.  However, my one year old likes to lift the flaps himself and I also think this is a great way for him to be part of the story too.  The problem with this book is the flaps covering the different body parts are very flimsy and very easily ruined.  Compared to some other books out there, this one doesn't live up to expectations.  Youngsters are still figuring out motor skills and are anything but delicate at this stage.  I appreciate books that are made to last more than a couple reads...::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:08 INFO  Worker:68 - Sentiment analysis result: 1
LOCAL 2024-02-11 17:08:08 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:09 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:09 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R14D3WP6J91DCU::Super cute book. My son loves lifting the flaps.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:09 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:09 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:09 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:09 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R367OTNJ8I36FS::I can't say much about this except that it was a gift for a great granddaughter.  My granddaughter tells me that she reads this to her eighteen month old daughter, and they both enjoy it enough to share it over and over again.  I read it too and found it a fun story.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:09 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:09 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:09 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:09 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R1L8O7RM8DD6J3::The book is sturdy and well made. My baby likes to carry her books around and they are routinely dropped. It has held up really well. She loves the flaps and finding the hands, feet, etc. My only critique is that the body parts that are highlighted are the smallest item on the whole page. As a visual representation for teaching a child it seems weird that the focal points are not scaled to be more familiarly identifiable.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:09 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:10 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:10 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:10 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R3MRIY8FUDOYHU::My almost 2 year old son loves the Katz books. We have the Beach Ball book, the Zoom Zoom book, and this one, so far, but I'm sure we'll get more. My son really likes this one, though I think he prefers the Beach Ball book Where Is Baby's Beach Ball?: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) best, but all the Katz books are top faves.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:10 INFO  Worker:75 - Named entity recognition result: Katz: PERSON, Karen: PERSON, Katz: PERSON, Katz: PERSON
LOCAL 2024-02-11 17:08:10 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:10 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:10 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R366N97DLUODS7::Cute!::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:10 INFO  Worker:68 - Sentiment analysis result: 2
LOCAL 2024-02-11 17:08:10 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:10 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:10 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R2OJAJRDONJ956::These are delicious and very chewy. It is a good snack. Worth the price since its almost double the gummy worms for half the price. The only problem is they run out fast. X)::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:11 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:11 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:11 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:11 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R2OJAJRDONJ956::These are delicious and very chewy. It is a good snack. Worth the price since its almost double the gummy worms for half the price. The only problem is they run out fast. X)::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:11 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:11 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:11 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:11 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R35P822BAW0TEW::It was perfect::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:11 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:12 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:12 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:12 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 17:08:12 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:12 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::RPURVNKU8YWTS::Ah!!!! My Gummi's .Love, love, love them. Do they come in a 10lb bag?::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:12 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:12 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:12 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:12 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R1266STJW192AU::My sister was the hit of the hospital staff. I truly think she got better care because of the gummis.::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:12 INFO  Worker:68 - Sentiment analysis result: 1
LOCAL 2024-02-11 17:08:12 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:13 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:13 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R248WNDI9KORMN::I love Gummi Bears. If you are a Gummi Bear lover then this is the order for you.This is a lot of Gummi bears::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:13 INFO  Worker:68 - Sentiment analysis result: 2
LOCAL 2024-02-11 17:08:13 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:13 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:13 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R386EPGNDYSO6::Mmmmmm, these are good::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:13 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:13 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:13 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:13 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::RGAST6Q7TRKA4::They are good flavor, but a little on the hard side.::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:13 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:14 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:14 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:14 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R2I4MYU1IT5IJ::Love them::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:14 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:14 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:14 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:14 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 17:08:14 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:14 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R3PLCGYS9LYRHZ::No other gummi....::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:14 INFO  Worker:68 - Sentiment analysis result: 2
LOCAL 2024-02-11 17:08:14 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:14 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:14 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R82DFHHKNJGR0::Great chewy::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:14 INFO  Worker:68 - Sentiment analysis result: 4
LOCAL 2024-02-11 17:08:15 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:15 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:15 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::RGAST6Q7TRKA4::They are good flavor, but a little on the hard side.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:15 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:15 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:15 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:15 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 17:08:15 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:15 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R8OWCLDI0GGL0::Love Karen Katz::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:15 INFO  Worker:68 - Sentiment analysis result: 4
LOCAL 2024-02-11 17:08:15 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:16 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
