LOCAL 2024-02-12 16:58:13 INFO  Worker:18 - Worker started
LOCAL 2024-02-12 16:58:14 INFO  Worker:29 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-12 16:58:14 INFO  Worker:57 - Received task: b092634e1b73a94c::0::R2JYKFIOFLDPVT::Cute pictures and my 14 month old daughter enjoys it. The flaps, like most flap books, are not going to hold up to her pulling on them, but overall it is a very good quality book for the type of book that it is. I've been able to easily repair lift up flaps with clear tape, and it's fine. As with all books for young kids, some wear and tear is to be expected, but this book has flaps of good quality so it can handle the repeat fixings.::entityRecognition for localAppId b092634e1b73a94c for inputIndex 0
LOCAL 2024-02-12 16:58:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 16:58:15 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 16:58:15 INFO  Worker:29 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-12 16:58:15 INFO  Worker:57 - Received task: b092634e1b73a94c::0::RRGM06Y1WF6L3::Great lift-the-flap book for one-year olds.  Love all of Karen Katz's books, but this one is the most engaging for a child this age.::entityRecognition for localAppId b092634e1b73a94c for inputIndex 0
LOCAL 2024-02-12 16:58:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 16:58:16 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 16:58:16 INFO  Worker:29 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-12 16:58:16 INFO  Worker:57 - Received task: b092634e1b73a94c::0::R25ATJUDAMEBGX::My baby loves this book so much! But be warned that this book goes through wear and tear very quickly with a toddler.::sentimentAnalysis for localAppId b092634e1b73a94c for inputIndex 0
LOCAL 2024-02-12 16:58:16 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 16:58:16 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 16:58:17 INFO  Worker:29 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-12 16:58:17 INFO  Worker:57 - Received task: b092634e1b73a94c::0::R1OMC346J0RPSH::My daughter asks for this book every day!::entityRecognition for localAppId b092634e1b73a94c for inputIndex 0
LOCAL 2024-02-12 16:58:17 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 16:58:17 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 16:58:17 INFO  Worker:29 - Polling tasks from managerToWorkerQueue
