LOCAL 2024-02-12 09:29:32 INFO  Manager:20 - Manager started
LOCAL 2024-02-12 09:29:33 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 09:29:33 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 09:29:33 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:29:36 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:29:40 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:29:43 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:29:46 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:29:49 INFO  Manager:48 - Polling tasks from 0 local app queues
