LOCAL 2024-02-12 15:21:54 INFO  Manager:18 - Manager started
LOCAL 2024-02-12 15:21:55 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 15:21:55 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 15:21:55 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:21:55 INFO  Manager:46 - Polled 1 requests
LOCAL 2024-02-12 15:21:55 INFO  Manager:60 - Received request: b341ab8dea6f6122::analyze::input2.txt::0::350
LOCAL 2024-02-12 15:21:55 INFO  S3Handler:56 - Downloading file b341ab8dea6f6122/input2.txt from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:21:57 INFO  Manager:101 - Parsed 490 reviews from input file input2.txt
LOCAL 2024-02-12 15:21:57 INFO  ManagerEnv:22 - Assigning workers
LOCAL 2024-02-12 15:21:59 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 15:21:59 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 15:22:01 INFO  EC2Handler:33 - Successfully started EC2 instance i-023e03839d927cf45 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 15:22:01 INFO  ManagerEnv:36 - Assigned workers, current amount: 1
LOCAL 2024-02-12 15:22:01 INFO  ManagerTask:38 - ManagerTask started for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:01 INFO  ManagerTask:58 - Sending tasks to workers for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:01 INFO  S3Handler:71 - File b341ab8dea6f6122/input2.txt deleted from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:22:01 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:01 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:01 INFO  ManagerTask:75 - Sent tasks for reviewId R1LO6KREH0DO7C for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:01 INFO  ManagerTask:76 - Sent total tasks 2 to workers for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:01 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:02 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:02 INFO  ManagerTask:75 - Sent tasks for reviewId RVTO9178ITTWI for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:02 INFO  ManagerTask:76 - Sent total tasks 4 to workers for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:02 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue
LOCAL 2024-02-12 15:22:02 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:22:02 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:02 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:02 INFO  ManagerTask:75 - Sent tasks for reviewId R183TPGJF3GM74 for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:02 INFO  ManagerTask:76 - Sent total tasks 6 to workers for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:02 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:02 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:02 INFO  ManagerTask:75 - Sent tasks for reviewId R3I9BY0ZH5W75E for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:02 INFO  ManagerTask:76 - Sent total tasks 8 to workers for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:02 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:03 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:22:03 INFO  ManagerTask:75 - Sent tasks for reviewId R1ZLTHFSSOGNWB for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:03 INFO  ManagerTask:76 - Sent total tasks 10 to workers for local app b341ab8dea6f6122 for inputIndex 0
LOCAL 2024-02-12 15:22:03 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
