LOCAL 2024-02-12 09:19:43 INFO  Manager:20 - Manager started
LOCAL 2024-02-12 09:19:44 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 09:19:44 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 09:19:44 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:19:47 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:19:51 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:19:54 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:19:57 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:00 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:03 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:06 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:10 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:13 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:16 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:19 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:22 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:20:25 INFO  Manager:48 - Polling tasks from 0 local app queues
