LOCAL 2024-02-11 15:55:17 INFO  Manager:19 - Manager started
LOCAL 2024-02-11 15:55:18 INFO  Manager:22 - Queue managerToWorkerQueue created
LOCAL 2024-02-11 15:55:18 INFO  Manager:22 - Queue workerToManagerQueue created
LOCAL 2024-02-11 15:55:18 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:18 INFO  Manager:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-944e4d4e1712b4bd
LOCAL 2024-02-11 15:55:22 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:25 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:28 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:32 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:35 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:38 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:39 INFO  Manager:67 - Received 0 requests
LOCAL 2024-02-11 15:55:39 INFO  Manager:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-944e4d4e1712b4bd
LOCAL 2024-02-11 15:55:41 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:44 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:47 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 15:55:50 INFO  Manager:59 - Polling tasks from 1 local app queues
