LOCAL 2024-02-12 09:21:25 INFO  Manager:20 - Manager started
LOCAL 2024-02-12 09:21:26 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 09:21:26 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 09:21:26 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:30 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:33 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:36 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:39 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:42 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:45 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:49 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:52 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:55 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:21:58 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:01 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:04 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:08 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:11 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:14 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:17 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:20 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:23 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:27 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:30 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:33 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:36 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:39 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:42 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:46 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:49 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:52 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:55 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:22:58 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:01 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:05 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:08 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:11 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:14 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:17 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:20 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:24 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:27 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:30 INFO  Manager:48 - Polling tasks from 0 local app queues
