LOCAL 2024-02-12 09:23:42 INFO  Manager:20 - Manager started
LOCAL 2024-02-12 09:23:43 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 09:23:43 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 09:23:43 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:46 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:50 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:53 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:56 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:23:59 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:02 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:05 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:09 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:12 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:15 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:18 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:21 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:24 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:27 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:31 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:34 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:37 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:40 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:43 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:46 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:24:49 INFO  Manager:48 - Polling tasks from 1 local app queues
LOCAL 2024-02-12 09:24:50 INFO  Manager:58 - Received 1 requests
LOCAL 2024-02-12 09:24:50 INFO  Manager:82 - Received request: 93607c1e15c0cd61::analyze::test-input1.txt::0::20
LOCAL 2024-02-12 09:24:50 INFO  S3Handler:56 - Downloading file test-input1.txt from S3 bucket sarcasm-analysis-bucket-93607c1e15c0cd61
LOCAL 2024-02-12 09:24:51 INFO  Manager:123 - Parsed 20 reviews from input file test-input1.txt
LOCAL 2024-02-12 09:24:51 INFO  ManagerTask:40 - ManagerTask started for local app 93607c1e15c0cd61 for inputIndex 0
