LOCAL 2024-02-12 15:48:21 INFO  Manager:18 - Manager started
LOCAL 2024-02-12 15:48:22 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 15:48:22 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 15:48:23 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:48:23 INFO  Manager:46 - Polled 1 requests
LOCAL 2024-02-12 15:48:23 INFO  Manager:60 - Received request: 9f3cda337dd46fdd::analyze::test-input3.txt::0::1
LOCAL 2024-02-12 15:48:23 INFO  S3Handler:56 - Downloading file 9f3cda337dd46fdd/test-input3.txt from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:48:24 INFO  Manager:101 - Parsed 1 reviews from input file test-input3.txt
LOCAL 2024-02-12 15:48:24 INFO  ManagerEnv:22 - Assigning workers
LOCAL 2024-02-12 15:48:26 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 15:48:26 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 15:48:28 INFO  EC2Handler:33 - Successfully started EC2 instance i-045caa793c8868708 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 15:48:28 INFO  ManagerTask:38 - ManagerTask started for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:48:28 INFO  ManagerTask:58 - Sending tasks to workers for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:48:28 INFO  S3Handler:71 - File 9f3cda337dd46fdd/test-input3.txt deleted from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:48:28 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:48:29 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:48:29 INFO  ManagerTask:75 - Sent tasks for reviewId RZFIYJTPVUZ94 for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:48:29 INFO  ManagerTask:76 - Sent total tasks 2 to workers for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:48:29 INFO  ManagerTask:42 - Sent tasks to workers for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:48:29 INFO  ManagerTask:81 - Receiving responses from workers for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:48:29 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue
LOCAL 2024-02-12 15:48:29 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:48:49 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:48:49 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:49:09 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:49:09 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:49:29 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:49:29 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:49:49 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:49:49 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:50:10 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:50:10 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:50:30 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:50:30 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:50:50 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:50:50 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:51:10 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:51:10 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:51:30 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:51:30 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:51:50 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:51:50 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:52:10 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:52:10 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:52:31 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:52:31 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:52:34 INFO  ManagerTask:97 - Received response for reviewId RZFIYJTPVUZ94 for inputIndex 0 for taskType sentimentAnalysis with taskResult 1
LOCAL 2024-02-12 15:52:35 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 15:52:35 INFO  ManagerTask:126 - Completed tasks 1 out of 2 for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:52:41 INFO  ManagerTask:97 - Received response for reviewId RZFIYJTPVUZ94 for inputIndex 0 for taskType entityRecognition with taskResult Toronto: ORGANIZATION, Star: ORGANIZATION, Lucifer: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION, Haribo: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, KLM: ORGANIZATION, Bugs: PERSON, Bunny: PERSON, Mount: LOCATION, Vesuvius: LOCATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION
LOCAL 2024-02-12 15:52:41 INFO  ManagerTask:121 - Updated summary message for reviewId RZFIYJTPVUZ94 for inputIndex 0 with sentiment 1 and entities Toronto: ORGANIZATION, Star: ORGANIZATION, Lucifer: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION, Haribo: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, KLM: ORGANIZATION, Bugs: PERSON, Bunny: PERSON, Mount: LOCATION, Vesuvius: LOCATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION
LOCAL 2024-02-12 15:52:42 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 15:52:42 INFO  ManagerTask:126 - Completed tasks 2 out of 2 for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:52:42 INFO  ManagerTask:46 - Received all responses from workers for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:52:43 INFO  S3Handler:52 - Content uploaded to S3 bucket sarcasm-analysis-bucket with key 9f3cda337dd46fdd/9f3cda337dd46fdd-summary-0
LOCAL 2024-02-12 15:52:43 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToLocalQueue
LOCAL 2024-02-12 15:52:43 INFO  ManagerTask:149 - Uploaded summary file 9f3cda337dd46fdd-summary-0 to S3 and sent response to local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:52:43 INFO  ManagerTask:50 - Finished summary for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:52:43 INFO  ManagerEnv:39 - Releasing workers
LOCAL 2024-02-12 15:52:44 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 15:52:44 INFO  ManagerTask:54 - ManagerTask finished for local app 9f3cda337dd46fdd for inputIndex 0
LOCAL 2024-02-12 15:52:51 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:52:51 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:53:12 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:53:12 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:53:32 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:53:32 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:53:46 INFO  Manager:46 - Polled 1 requests
LOCAL 2024-02-12 15:53:46 INFO  Manager:60 - Received request: 9831814ce736dd77::analyze::test-input3.txt::0::1
LOCAL 2024-02-12 15:53:46 INFO  S3Handler:56 - Downloading file 9831814ce736dd77/test-input3.txt from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:53:47 INFO  Manager:101 - Parsed 1 reviews from input file test-input3.txt
LOCAL 2024-02-12 15:53:47 INFO  ManagerEnv:22 - Assigning workers
LOCAL 2024-02-12 15:53:48 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 15:53:48 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 15:53:50 INFO  EC2Handler:33 - Successfully started EC2 instance i-0dcc0c03e05eca00b based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 15:53:50 INFO  ManagerTask:38 - ManagerTask started for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 15:53:50 INFO  ManagerTask:58 - Sending tasks to workers for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 15:53:50 INFO  S3Handler:71 - File 9831814ce736dd77/test-input3.txt deleted from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:53:50 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:53:51 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:53:51 INFO  ManagerTask:75 - Sent tasks for reviewId RZFIYJTPVUZ94 for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 15:53:51 INFO  ManagerTask:76 - Sent total tasks 2 to workers for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 15:53:51 INFO  ManagerTask:42 - Sent tasks to workers for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 15:53:51 INFO  ManagerTask:81 - Receiving responses from workers for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 15:53:51 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue
LOCAL 2024-02-12 15:53:51 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:54:11 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:54:11 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:54:31 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:54:31 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:54:51 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:54:51 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:55:11 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:55:11 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:55:32 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:55:32 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:55:52 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:55:52 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:56:12 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:56:12 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:56:32 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:56:32 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:56:52 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:56:52 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:57:12 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:57:12 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:57:32 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:57:32 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:57:53 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:57:53 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:58:13 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:58:13 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:58:33 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:58:33 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:58:54 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:58:54 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:59:14 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:59:14 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:59:34 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:59:34 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:59:54 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 15:59:54 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:00:14 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 16:00:14 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:00:35 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 16:00:35 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:00:39 INFO  ManagerTask:97 - Received response for reviewId RZFIYJTPVUZ94 for inputIndex 0 for taskType sentimentAnalysis with taskResult 1
LOCAL 2024-02-12 16:00:39 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 16:00:39 INFO  ManagerTask:126 - Completed tasks 1 out of 2 for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 16:00:45 INFO  ManagerTask:97 - Received response for reviewId RZFIYJTPVUZ94 for inputIndex 0 for taskType entityRecognition with taskResult Toronto: ORGANIZATION, Star: ORGANIZATION, Lucifer: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION, Haribo: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, KLM: ORGANIZATION, Bugs: PERSON, Bunny: PERSON, Mount: LOCATION, Vesuvius: LOCATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION
LOCAL 2024-02-12 16:00:45 INFO  ManagerTask:121 - Updated summary message for reviewId RZFIYJTPVUZ94 for inputIndex 0 with sentiment 1 and entities Toronto: ORGANIZATION, Star: ORGANIZATION, Lucifer: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION, Haribo: PERSON, Haribo: ORGANIZATION, Sugar: ORGANIZATION, Free: ORGANIZATION, Gummy: ORGANIZATION, Bears: ORGANIZATION, KLM: ORGANIZATION, Bugs: PERSON, Bunny: PERSON, Mount: LOCATION, Vesuvius: LOCATION, Pearson: LOCATION, International: LOCATION, Airport: LOCATION
LOCAL 2024-02-12 16:00:45 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 16:00:45 INFO  ManagerTask:126 - Completed tasks 2 out of 2 for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 16:00:45 INFO  ManagerTask:46 - Received all responses from workers for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 16:00:47 INFO  S3Handler:52 - Content uploaded to S3 bucket sarcasm-analysis-bucket with key 9831814ce736dd77/9831814ce736dd77-summary-0
LOCAL 2024-02-12 16:00:47 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToLocalQueue
LOCAL 2024-02-12 16:00:47 INFO  ManagerTask:149 - Uploaded summary file 9831814ce736dd77-summary-0 to S3 and sent response to local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 16:00:47 INFO  ManagerTask:50 - Finished summary for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 16:00:47 INFO  ManagerEnv:39 - Releasing workers
LOCAL 2024-02-12 16:00:48 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 16:00:48 INFO  ManagerTask:54 - ManagerTask finished for local app 9831814ce736dd77 for inputIndex 0
LOCAL 2024-02-12 16:00:55 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 16:00:55 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:01:15 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 16:01:15 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:01:35 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 16:01:35 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:01:55 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 16:01:55 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:16 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 16:02:16 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:16 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: afbf3503-f4d6-5b4a-98d0-6b47d3fee5d2)
LOCAL 2024-02-12 16:02:16 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:16 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 9c592f6f-1026-5d88-b402-712b370ea310)
LOCAL 2024-02-12 16:02:16 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:16 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 0aaacab4-29f2-5b98-a3c7-94f00eda9500)
LOCAL 2024-02-12 16:02:16 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:16 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 240b84a4-81ad-5198-91f5-dae0a685df00)
LOCAL 2024-02-12 16:02:16 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:17 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 24c35987-1ad6-5d17-9e1a-07c33dfe638f)
LOCAL 2024-02-12 16:02:17 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:17 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 72197e00-d933-5777-8c0e-2044fe1ae9ef)
LOCAL 2024-02-12 16:02:17 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:17 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 4cee2469-7db2-518e-a6cd-7a2d5a9bbf16)
LOCAL 2024-02-12 16:02:17 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:17 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 51c4e58b-b475-5dce-9ee0-bbcf935c0356)
LOCAL 2024-02-12 16:02:17 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:17 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: b367fcfa-63ca-5bde-9fe8-a2be44e32546)
LOCAL 2024-02-12 16:02:17 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:17 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 55b5efa4-fcdf-5b49-92eb-b1e0dbf675d1)
LOCAL 2024-02-12 16:02:17 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:18 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: bc1d522b-3ad0-5188-9962-0c6f1df9bf10)
LOCAL 2024-02-12 16:02:18 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:18 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 81cb9a1d-975f-546c-9233-c459b0766af4)
LOCAL 2024-02-12 16:02:18 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:18 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: ad43e740-42c7-573a-b9f5-b90465ed99a2)
LOCAL 2024-02-12 16:02:18 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:18 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 99882a97-ce92-5c6c-8b83-74d3e9b8b2f4)
LOCAL 2024-02-12 16:02:18 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:18 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: d9ea5abc-5ec9-58b0-bd65-04f879e3c628)
LOCAL 2024-02-12 16:02:18 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:18 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 14d77160-d71a-5ef7-ae98-2f24f030606f)
LOCAL 2024-02-12 16:02:18 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:18 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 6c3a1564-6ade-5c4f-a4b5-4b204df4b2d7)
LOCAL 2024-02-12 16:02:18 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:19 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: cb532822-9b0b-51d1-ac83-7666bc210f49)
LOCAL 2024-02-12 16:02:19 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:19 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: b8d5e8e5-74da-568a-b89d-b6a153f04812)
LOCAL 2024-02-12 16:02:19 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:19 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 3a9b5791-1623-514f-b821-09d531080fd7)
LOCAL 2024-02-12 16:02:19 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:19 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 7c12c9a0-2fd9-5d14-a3aa-97e408f2938c)
LOCAL 2024-02-12 16:02:19 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:19 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 5392d835-909e-5191-8bc7-8671b7b54f09)
LOCAL 2024-02-12 16:02:19 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:19 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 4dbd3807-c57b-52f6-bbfd-6643e250dc6e)
LOCAL 2024-02-12 16:02:19 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:19 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 9d31d4e4-259a-5029-870b-8aa002b18eb1)
LOCAL 2024-02-12 16:02:19 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:20 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: e5e72c1d-690c-5b8e-a22d-72594e275516)
LOCAL 2024-02-12 16:02:20 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 16:02:20 ERROR Manager:52 - The specified queue does not exist. (Service: Sqs, Status Code: 400, Request ID: 906ad353-3c7f-5087-9f82-8d171b54de1f)
