LOCAL 2024-02-12 12:22:47 INFO  Manager:18 - Manager started
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:75 - Sent tasks for reviewId R367OTNJ8I36FS for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:76 - Sent total tasks 24 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:14 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:14 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:75 - Sent tasks for reviewId R3GCFAIUL8BI3Y for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:76 - Sent total tasks 26 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:14 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:14 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:75 - Sent tasks for reviewId R33SW6AMDKTSB8 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:76 - Sent total tasks 28 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:15 INFO  ManagerTask:75 - Sent tasks for reviewId RW6ORU2M3C461 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:15 INFO  ManagerTask:76 - Sent total tasks 30 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:15 INFO  ManagerTask:75 - Sent tasks for reviewId R1L8O7RM8DD6J3 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:15 INFO  ManagerTask:76 - Sent total tasks 32 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:15 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:15 INFO  ManagerTask:75 - Sent tasks for reviewId R3V239ZPPF0XY3 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:15 INFO  ManagerTask:76 - Sent total tasks 34 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:16 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:75 - Sent tasks for reviewId R3MRIY8FUDOYHU for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:76 - Sent total tasks 36 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:16 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:75 - Sent tasks for reviewId RB9QK3F6SUQPU for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:76 - Sent total tasks 38 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:16 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:75 - Sent tasks for reviewId R366N97DLUODS7 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:76 - Sent total tasks 40 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:42 - Sent tasks to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:16 INFO  ManagerTask:81 - Receiving responses from workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:30 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 12:23:30 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:23:50 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 12:23:50 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:24:04 INFO  ManagerTask:97 - Received response for reviewId R8OWCLDI0GGL0 for inputIndex 0 for taskType sentimentAnalysis with taskResult 4
LOCAL 2024-02-12 12:24:05 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:05 INFO  ManagerTask:126 - Completed tasks 1 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:07 INFO  ManagerTask:97 - Received response for reviewId R3P2KOXRF7Z400 for inputIndex 0 for taskType sentimentAnalysis with taskResult 3
LOCAL 2024-02-12 12:24:07 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:07 INFO  ManagerTask:126 - Completed tasks 2 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:07 INFO  ManagerTask:97 - Received response for reviewId R14D3WP6J91DCU for inputIndex 0 for taskType sentimentAnalysis with taskResult 3
LOCAL 2024-02-12 12:24:07 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:07 INFO  ManagerTask:126 - Completed tasks 3 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:08 INFO  ManagerTask:97 - Received response for reviewId RGMH5ROASTBS8 for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:08 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:08 INFO  ManagerTask:126 - Completed tasks 4 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:08 INFO  ManagerTask:97 - Received response for reviewId RJ62XWHGDIF7 for inputIndex 0 for taskType sentimentAnalysis with taskResult 2
LOCAL 2024-02-12 12:24:08 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:08 INFO  ManagerTask:126 - Completed tasks 5 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:08 INFO  ManagerTask:97 - Received response for reviewId R3GCFAIUL8BI3Y for inputIndex 0 for taskType sentimentAnalysis with taskResult 4
LOCAL 2024-02-12 12:24:08 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:08 INFO  ManagerTask:126 - Completed tasks 6 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:10 INFO  ManagerTask:97 - Received response for reviewId R33DK4T6EHUIHX for inputIndex 0 for taskType sentimentAnalysis with taskResult 1
LOCAL 2024-02-12 12:24:10 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:10 INFO  ManagerTask:126 - Completed tasks 7 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:10 INFO  ManagerTask:97 - Received response for reviewId R367OTNJ8I36FS for inputIndex 0 for taskType sentimentAnalysis with taskResult 3
LOCAL 2024-02-12 12:24:10 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:10 INFO  ManagerTask:126 - Completed tasks 8 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:10 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 12:24:10 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:24:10 INFO  ManagerTask:97 - Received response for reviewId R3DHV2T9Q991V7 for inputIndex 0 for taskType sentimentAnalysis with taskResult 4
LOCAL 2024-02-12 12:24:11 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:126 - Completed tasks 9 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:97 - Received response for reviewId R3V239ZPPF0XY3 for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:11 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:126 - Completed tasks 10 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:97 - Received response for reviewId RGMH5ROASTBS8 for inputIndex 0 for taskType sentimentAnalysis with taskResult 3
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:121 - Updated summary message for reviewId RGMH5ROASTBS8 for inputIndex 0 with sentiment 3 and entities 
LOCAL 2024-02-12 12:24:11 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:126 - Completed tasks 11 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:97 - Received response for reviewId R3R9QKZ61DMKGF for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:11 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:126 - Completed tasks 12 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:97 - Received response for reviewId R3GCFAIUL8BI3Y for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:11 INFO  ManagerTask:121 - Updated summary message for reviewId R3GCFAIUL8BI3Y for inputIndex 0 with sentiment 4 and entities 
LOCAL 2024-02-12 12:24:12 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:126 - Completed tasks 13 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:97 - Received response for reviewId R367OTNJ8I36FS for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:121 - Updated summary message for reviewId R367OTNJ8I36FS for inputIndex 0 with sentiment 3 and entities 
LOCAL 2024-02-12 12:24:12 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:126 - Completed tasks 14 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:97 - Received response for reviewId R33SW6AMDKTSB8 for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:12 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:126 - Completed tasks 15 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:97 - Received response for reviewId R1RUXYHCSZSHJ0 for inputIndex 0 for taskType sentimentAnalysis with taskResult 2
LOCAL 2024-02-12 12:24:12 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:126 - Completed tasks 16 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:97 - Received response for reviewId R3DHV2T9Q991V7 for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:12 INFO  ManagerTask:121 - Updated summary message for reviewId R3DHV2T9Q991V7 for inputIndex 0 with sentiment 4 and entities 
LOCAL 2024-02-12 12:24:13 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:13 INFO  ManagerTask:126 - Completed tasks 17 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:13 INFO  ManagerTask:97 - Received response for reviewId RSO743RDYVWTZ for inputIndex 0 for taskType sentimentAnalysis with taskResult 2
LOCAL 2024-02-12 12:24:13 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:13 INFO  ManagerTask:126 - Completed tasks 18 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:13 INFO  ManagerTask:97 - Received response for reviewId RW6ORU2M3C461 for inputIndex 0 for taskType sentimentAnalysis with taskResult 3
LOCAL 2024-02-12 12:24:14 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:126 - Completed tasks 19 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:97 - Received response for reviewId R1L8O7RM8DD6J3 for inputIndex 0 for taskType sentimentAnalysis with taskResult 1
LOCAL 2024-02-12 12:24:14 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:126 - Completed tasks 20 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:97 - Received response for reviewId R8OWCLDI0GGL0 for inputIndex 0 for taskType entityRecognition with taskResult Karen: PERSON, Katz: PERSON
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:121 - Updated summary message for reviewId R8OWCLDI0GGL0 for inputIndex 0 with sentiment 4 and entities Karen: PERSON, Katz: PERSON
LOCAL 2024-02-12 12:24:14 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:126 - Completed tasks 21 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:97 - Received response for reviewId R1L8O7RM8DD6J3 for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:121 - Updated summary message for reviewId R1L8O7RM8DD6J3 for inputIndex 0 with sentiment 1 and entities 
LOCAL 2024-02-12 12:24:14 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:126 - Completed tasks 22 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:97 - Received response for reviewId RJ62XWHGDIF7 for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:121 - Updated summary message for reviewId RJ62XWHGDIF7 for inputIndex 0 with sentiment 2 and entities 
LOCAL 2024-02-12 12:24:14 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:14 INFO  ManagerTask:126 - Completed tasks 23 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:15 INFO  ManagerTask:97 - Received response for reviewId RB9QK3F6SUQPU for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:15 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/workerToManagerQueue
LOCAL 2024-02-12 12:24:15 INFO  ManagerTask:126 - Completed tasks 24 out of 40 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:24:15 INFO  ManagerTask:97 - Received response for reviewId R33DK4T6EHUIHX for inputIndex 0 for taskType entityRecognition with taskResult 
LOCAL 2024-02-12 12:24:15 INFO  ManagerTask:121 - Updated summary message for reviewId R33DK4T6EHUIHX for inputIndex 0 with sentiment 1 and entities 
