LOCAL 2024-02-12 12:22:47 INFO  Manager:18 - Manager started
LOCAL 2024-02-12 12:22:48 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 12:22:48 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 12:22:48 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:22:49 INFO  Manager:46 - Polled 1 requests
LOCAL 2024-02-12 12:22:49 INFO  Manager:60 - Received request: 9c9889cae2404a2e::analyze::test-input1.txt::0::10
LOCAL 2024-02-12 12:22:49 INFO  S3Handler:56 - Downloading file 9c9889cae2404a2e/test-input1.txt from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 12:22:50 INFO  Manager:101 - Parsed 20 reviews from input file test-input1.txt
LOCAL 2024-02-12 12:22:50 INFO  S3Handler:71 - File 9c9889cae2404a2e/test-input1.txt deleted from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 12:22:52 INFO  ManagerEnv:22 - Assigning workers
LOCAL 2024-02-12 12:22:55 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 12:23:00 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:23:02 INFO  EC2Handler:33 - Successfully started EC2 instance i-01c97680b17555e2b based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:23:03 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:23:05 INFO  EC2Handler:33 - Successfully started EC2 instance i-0f9e716c55f4cb1ea based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:23:05 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:23:07 INFO  EC2Handler:33 - Successfully started EC2 instance i-08d74b4143c7ebcae based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:23:07 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:23:09 INFO  EC2Handler:33 - Successfully started EC2 instance i-0adf8af8b862f528e based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:23:09 INFO  ManagerEnv:36 - Assigned workers, current amount: 4
LOCAL 2024-02-12 12:23:09 INFO  ManagerTask:38 - ManagerTask started for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:09 INFO  ManagerTask:58 - Sending tasks to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:10 INFO  ManagerTask:75 - Sent tasks for reviewId RJ62XWHGDIF7 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:10 INFO  ManagerTask:76 - Sent total tasks 2 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:10 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue
LOCAL 2024-02-12 12:23:10 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:23:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:11 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:11 INFO  ManagerTask:75 - Sent tasks for reviewId RSO743RDYVWTZ for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:11 INFO  ManagerTask:76 - Sent total tasks 4 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:11 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:11 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:11 INFO  ManagerTask:75 - Sent tasks for reviewId R8OWCLDI0GGL0 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:11 INFO  ManagerTask:76 - Sent total tasks 6 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:11 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:11 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:11 INFO  ManagerTask:75 - Sent tasks for reviewId R33DK4T6EHUIHX for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:11 INFO  ManagerTask:76 - Sent total tasks 8 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:11 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:12 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:12 INFO  ManagerTask:75 - Sent tasks for reviewId R3DHV2T9Q991V7 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:12 INFO  ManagerTask:76 - Sent total tasks 10 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:12 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:12 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:12 INFO  ManagerTask:75 - Sent tasks for reviewId R14D3WP6J91DCU for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:12 INFO  ManagerTask:76 - Sent total tasks 12 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:12 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:12 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:12 INFO  ManagerTask:75 - Sent tasks for reviewId R3P2KOXRF7Z400 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:12 INFO  ManagerTask:76 - Sent total tasks 14 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:12 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:13 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:13 INFO  ManagerTask:75 - Sent tasks for reviewId R1IKZK5S0DCKZ0 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:13 INFO  ManagerTask:76 - Sent total tasks 16 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:13 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:13 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:13 INFO  ManagerTask:75 - Sent tasks for reviewId RGMH5ROASTBS8 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:13 INFO  ManagerTask:76 - Sent total tasks 18 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:13 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:13 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:13 INFO  ManagerTask:75 - Sent tasks for reviewId R1RUXYHCSZSHJ0 for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:13 INFO  ManagerTask:76 - Sent total tasks 20 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:13 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:14 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:75 - Sent tasks for reviewId R3R9QKZ61DMKGF for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:14 INFO  ManagerTask:76 - Sent total tasks 22 to workers for local app 9c9889cae2404a2e for inputIndex 0
LOCAL 2024-02-12 12:23:14 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:23:14 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
