LOCAL 2024-02-12 12:18:29 INFO  Manager:18 - Manager started
LOCAL 2024-02-12 12:18:30 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 12:18:31 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 12:18:31 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:18:51 INFO  Manager:46 - Polled 0 requests
LOCAL 2024-02-12 12:18:51 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:18:54 INFO  Manager:46 - Polled 1 requests
LOCAL 2024-02-12 12:18:54 INFO  Manager:60 - Received request: 9d9292d5a5c7f49b::analyze::input2.txt::0::200
LOCAL 2024-02-12 12:18:54 INFO  S3Handler:56 - Downloading file 9d9292d5a5c7f49b/input2.txt from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 12:18:56 INFO  Manager:101 - Parsed 490 reviews from input file input2.txt
LOCAL 2024-02-12 12:18:56 INFO  S3Handler:71 - File 9d9292d5a5c7f49b/input2.txt deleted from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 12:18:56 INFO  ManagerEnv:22 - Assigning workers
LOCAL 2024-02-12 12:18:58 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 12:18:58 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:19:00 INFO  EC2Handler:33 - Successfully started EC2 instance i-05d0ca29be519a854 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:19:00 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:19:02 INFO  EC2Handler:33 - Successfully started EC2 instance i-0003910c16de87039 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:19:02 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:19:04 INFO  EC2Handler:33 - Successfully started EC2 instance i-01284fe7c33d91d87 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:19:04 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:19:06 INFO  EC2Handler:33 - Successfully started EC2 instance i-0a665211ad9bd2e95 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:19:06 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 12:19:08 INFO  EC2Handler:33 - Successfully started EC2 instance i-078048d3f1b7536b1 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 12:19:08 INFO  ManagerEnv:36 - Assigned workers, current amount: 5
LOCAL 2024-02-12 12:19:08 INFO  ManagerTask:38 - ManagerTask started for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:08 INFO  ManagerTask:58 - Sending tasks to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:08 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:08 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:08 INFO  ManagerTask:75 - Sent tasks for reviewId R1LO6KREH0DO7C for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:08 INFO  ManagerTask:76 - Sent total tasks 2 to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:08 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue
LOCAL 2024-02-12 12:19:09 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:75 - Sent tasks for reviewId RVTO9178ITTWI for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:76 - Sent total tasks 4 to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:75 - Sent tasks for reviewId R183TPGJF3GM74 for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:76 - Sent total tasks 6 to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:75 - Sent tasks for reviewId R3I9BY0ZH5W75E for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:76 - Sent total tasks 8 to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:75 - Sent tasks for reviewId R1ZLTHFSSOGNWB for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:09 INFO  ManagerTask:76 - Sent total tasks 10 to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:10 INFO  ManagerTask:75 - Sent tasks for reviewId R1WBH7GJ6ZQN0H for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:10 INFO  ManagerTask:76 - Sent total tasks 12 to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:10 INFO  ManagerTask:75 - Sent tasks for reviewId RYCEFJV10K560 for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:10 INFO  ManagerTask:76 - Sent total tasks 14 to workers for local app 9d9292d5a5c7f49b for inputIndex 0
LOCAL 2024-02-12 12:19:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 12:19:10 INFO  ManagerTask:75 - Sent tasks for reviewId R3P2J84U84FPPC for local app 9d9292d5a5c7f49b for inputIndex 0
