LOCAL 2024-02-12 09:30:46 INFO  Manager:20 - Manager started
LOCAL 2024-02-12 09:30:47 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 09:30:47 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 09:30:47 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:30:50 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:30:54 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:30:57 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:00 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:03 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:06 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:09 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:12 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:16 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:19 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:31:22 INFO  Manager:48 - Polling tasks from 0 local app queues
