LOCAL 2024-02-12 10:19:05 INFO  Manager:20 - Manager started
LOCAL 2024-02-12 10:19:06 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 10:19:07 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 10:19:07 INFO  Manager:42 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 10:19:07 INFO  Manager:47 - Polled 1 requests
LOCAL 2024-02-12 10:19:07 INFO  Manager:61 - Received request: b3b11ee3a2e10e3b::analyze::test-input1.txt::0::20
LOCAL 2024-02-12 10:19:07 INFO  S3Handler:56 - Downloading file test-input1.txt from S3 bucket sarcasm-analysis-bucket-b3b11ee3a2e10e3b
LOCAL 2024-02-12 10:19:08 INFO  Manager:104 - Parsed 20 reviews from input file test-input1.txt
LOCAL 2024-02-12 10:19:08 INFO  ManagerTask:40 - ManagerTask started for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:08 INFO  ManagerTask:60 - Sending tasks to workers for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:08 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:77 - Sent tasks for reviewId RJ62XWHGDIF7 for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:78 - Sent total tasks 2 to workers for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue
LOCAL 2024-02-12 10:19:09 INFO  Manager:42 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:77 - Sent tasks for reviewId RSO743RDYVWTZ for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:78 - Sent total tasks 4 to workers for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:77 - Sent tasks for reviewId R8OWCLDI0GGL0 for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:78 - Sent total tasks 6 to workers for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:77 - Sent tasks for reviewId R33DK4T6EHUIHX for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:09 INFO  ManagerTask:78 - Sent total tasks 8 to workers for local app b3b11ee3a2e10e3b for inputIndex 0
LOCAL 2024-02-12 10:19:10 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
