LOCAL 2024-02-11 16:06:41 INFO  Manager:19 - Manager started
LOCAL 2024-02-11 16:06:42 INFO  Manager:22 - Queue managerToWorkerQueue created
LOCAL 2024-02-11 16:06:43 INFO  Manager:22 - Queue workerToManagerQueue created
LOCAL 2024-02-11 16:06:43 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:06:43 INFO  Manager:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-b63592fbe23e1b6c
LOCAL 2024-02-11 16:06:43 INFO  Manager:67 - Received 1 requests
LOCAL 2024-02-11 16:06:43 INFO  Manager:88 - Received request: b63592fbe23e1b6c::analyze::test-input1.txt::0::20
LOCAL 2024-02-11 16:06:43 INFO  Manager:59 - Downloading file test-input1.txt from S3 bucket sarcasm-analysis-bucket-b63592fbe23e1b6c
LOCAL 2024-02-11 16:06:44 INFO  Manager:115 - Parsed 20 reviews from input file test-input1.txt
LOCAL 2024-02-11 16:06:45 INFO  Manager:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-b63592fbe23e1b6c
LOCAL 2024-02-11 16:06:45 INFO  Manager:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-b63592fbe23e1b6c
LOCAL 2024-02-11 16:06:47 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:06:50 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:06:53 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:06:56 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:06:59 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:03 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:05 INFO  Manager:67 - Received 0 requests
LOCAL 2024-02-11 16:07:05 INFO  Manager:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-b63592fbe23e1b6c
LOCAL 2024-02-11 16:07:06 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:09 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:12 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:15 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:18 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:22 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:25 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:25 INFO  Manager:67 - Received 0 requests
LOCAL 2024-02-11 16:07:25 INFO  Manager:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-b63592fbe23e1b6c
LOCAL 2024-02-11 16:07:28 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:31 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:34 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:37 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:41 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:44 INFO  Manager:59 - Polling tasks from 1 local app queues
LOCAL 2024-02-11 16:07:45 INFO  Manager:67 - Received 0 requests
LOCAL 2024-02-11 16:07:45 INFO  Manager:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue-b63592fbe23e1b6c
LOCAL 2024-02-11 16:07:47 INFO  Manager:59 - Polling tasks from 1 local app queues
