LOCAL 2024-02-11 11:48:57 INFO  Worker:17 - Worker started
LOCAL 2024-02-11 11:48:59 INFO  Worker:27 - Polling tasks from 1 manager queues
LOCAL 2024-02-11 11:48:59 INFO  Worker:80 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:48:59 INFO  Worker:33 - Received 7 tasks from 9e90d306b8dcf545
LOCAL 2024-02-11 11:48:59 INFO  Worker:68 - Received task: 9e90d306b8dcf545::0::R33DK4T6EHUIHX::Does a nice job of showing your child where different body parts are in a cute manner.  However, my one year old likes to lift the flaps himself and I also think this is a great way for him to be part of the story too.  The problem with this book is the flaps covering the different body parts are very flimsy and very easily ruined.  Compared to some other books out there, this one doesn't live up to expectations.  Youngsters are still figuring out motor skills and are anything but delicate at this stage.  I appreciate books that are made to last more than a couple reads...::sentimentAnalysis
LOCAL 2024-02-11 11:49:02 INFO  Worker:77 - Sentiment analysis result: 1
LOCAL 2024-02-11 11:49:02 INFO  Worker:76 - Sent message to workerToManagerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:02 INFO  Worker:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:02 INFO  Worker:68 - Received task: 9e90d306b8dcf545::0::R3DHV2T9Q991V7::Very cute!::entityRecognition
LOCAL 2024-02-11 11:49:02 INFO  Worker:84 - Named entity recognition result: 
LOCAL 2024-02-11 11:49:03 INFO  Worker:76 - Sent message to workerToManagerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:03 INFO  Worker:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:03 INFO  Worker:68 - Received task: 9e90d306b8dcf545::0::R367OTNJ8I36FS::I can't say much about this except that it was a gift for a great granddaughter.  My granddaughter tells me that she reads this to her eighteen month old daughter, and they both enjoy it enough to share it over and over again.  I read it too and found it a fun story.::sentimentAnalysis
LOCAL 2024-02-11 11:49:04 INFO  Worker:77 - Sentiment analysis result: 3
LOCAL 2024-02-11 11:49:04 INFO  Worker:76 - Sent message to workerToManagerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:04 INFO  Worker:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:04 INFO  Worker:68 - Received task: 9e90d306b8dcf545::0::R3GCFAIUL8BI3Y::This book is adorable. My toddler loves it.::sentimentAnalysis
LOCAL 2024-02-11 11:49:04 INFO  Worker:77 - Sentiment analysis result: 4
LOCAL 2024-02-11 11:49:04 INFO  Worker:76 - Sent message to workerToManagerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:04 INFO  Worker:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:04 INFO  Worker:68 - Received task: 9e90d306b8dcf545::0::R33SW6AMDKTSB8::Such an entertaining book, my daughter loves books so this is a great look and find book... lol::sentimentAnalysis
LOCAL 2024-02-11 11:49:05 INFO  Worker:77 - Sentiment analysis result: 3
LOCAL 2024-02-11 11:49:05 INFO  Worker:76 - Sent message to workerToManagerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:05 INFO  Worker:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:05 INFO  Worker:68 - Received task: 9e90d306b8dcf545::0::R3V239ZPPF0XY3::Cutest book ever. All my kids love, love, love it!! I'd give this as a present to other people too.::entityRecognition
LOCAL 2024-02-11 11:49:05 INFO  Worker:84 - Named entity recognition result: 
LOCAL 2024-02-11 11:49:05 INFO  Worker:76 - Sent message to workerToManagerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:06 INFO  Worker:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:06 INFO  Worker:68 - Received task: 9e90d306b8dcf545::0::RB9QK3F6SUQPU::love::entityRecognition
LOCAL 2024-02-11 11:49:06 INFO  Worker:84 - Named entity recognition result: 
LOCAL 2024-02-11 11:49:06 INFO  Worker:76 - Sent message to workerToManagerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:06 INFO  Worker:98 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue-9e90d306b8dcf545
LOCAL 2024-02-11 11:49:07 INFO  Worker:27 - Polling tasks from 1 manager queues
