LOCAL 2024-02-11 16:29:58 INFO  Worker:17 - Worker started
LOCAL 2024-02-11 16:29:59 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 16:29:59 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 16:29:59 INFO  Worker:56 - Received task: 9dc190253bc464f0::0::RJ62XWHGDIF7::As soon as I got this package, I gave it to my 18 month old son to open and he made me read it to him about a dozen times. He loves it! He's obsessed with his belly button, so this is the perfect book for him. He's also obsessed with peek-a-boo, so he loves lifting the flaps. It was a definite hit!::entityRecognition for localAppId 9dc190253bc464f0 for inputIndex 0
LOCAL 2024-02-11 16:30:00 INFO  Worker:72 - Named entity recognition result: 
LOCAL 2024-02-11 16:30:00 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 16:30:00 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 16:30:00 INFO  Worker:56 - Received task: 9dc190253bc464f0::0::R14D3WP6J91DCU::Super cute book. My son loves lifting the flaps.::entityRecognition for localAppId 9dc190253bc464f0 for inputIndex 0
LOCAL 2024-02-11 16:30:00 INFO  Worker:72 - Named entity recognition result: 
LOCAL 2024-02-11 16:30:00 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 16:30:00 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 16:30:00 INFO  Worker:56 - Received task: 9dc190253bc464f0::0::R1RUXYHCSZSHJ0::Cute lift-the-flap book. My 9 month old loves it!::entityRecognition for localAppId 9dc190253bc464f0 for inputIndex 0
LOCAL 2024-02-11 16:30:00 INFO  Worker:72 - Named entity recognition result: 
LOCAL 2024-02-11 16:30:00 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 16:30:01 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 16:30:01 INFO  Worker:56 - Received task: 9dc190253bc464f0::0::R3R9QKZ61DMKGF::This gift was liked by the child and parents.::sentimentAnalysis for localAppId 9dc190253bc464f0 for inputIndex 0
LOCAL 2024-02-11 16:30:01 INFO  Worker:65 - Sentiment analysis result: 3
LOCAL 2024-02-11 16:30:01 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
