LOCAL 2024-02-12 09:33:17 INFO  Worker:17 - Worker started
LOCAL 2024-02-12 09:33:18 INFO  Worker:24 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-12 09:33:45 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::RJ62XWHGDIF7::As soon as I got this package, I gave it to my 18 month old son to open and he made me read it to him about a dozen times. He loves it! He's obsessed with his belly button, so this is the perfect book for him. He's also obsessed with peek-a-boo, so he loves lifting the flaps. It was a definite hit!::sentimentAnalysis for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:46 INFO  Worker:72 - Sentiment analysis result: 2
LOCAL 2024-02-12 09:33:47 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:47 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:47 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R8OWCLDI0GGL0::Love Karen Katz::sentimentAnalysis for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:47 INFO  Worker:72 - Sentiment analysis result: 4
LOCAL 2024-02-12 09:33:47 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:47 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:47 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::RJ62XWHGDIF7::As soon as I got this package, I gave it to my 18 month old son to open and he made me read it to him about a dozen times. He loves it! He's obsessed with his belly button, so this is the perfect book for him. He's also obsessed with peek-a-boo, so he loves lifting the flaps. It was a definite hit!::entityRecognition for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:48 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 09:33:48 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:48 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:48 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R1RUXYHCSZSHJ0::Cute lift-the-flap book. My 9 month old loves it!::sentimentAnalysis for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:48 INFO  Worker:72 - Sentiment analysis result: 2
LOCAL 2024-02-12 09:33:48 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:49 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:49 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::RSO743RDYVWTZ::My girls love this book so much I bought it for my niece!::sentimentAnalysis for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:49 INFO  Worker:72 - Sentiment analysis result: 2
LOCAL 2024-02-12 09:33:49 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:49 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:49 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R3P2KOXRF7Z400::So cute and fun.::sentimentAnalysis for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:49 INFO  Worker:72 - Sentiment analysis result: 3
LOCAL 2024-02-12 09:33:49 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:50 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:50 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::RSO743RDYVWTZ::My girls love this book so much I bought it for my niece!::entityRecognition for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:50 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 09:33:50 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:50 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:50 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R1IKZK5S0DCKZ0::My daughter loves lifting the flaps herself! She's almost a year. Great colorful pictures. I'm never disappointed with Karen Katz!::entityRecognition for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:50 INFO  Worker:79 - Named entity recognition result: Karen: PERSON, Katz: PERSON
LOCAL 2024-02-12 09:33:50 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:50 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:51 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R33SW6AMDKTSB8::Such an entertaining book, my daughter loves books so this is a great look and find book... lol::entityRecognition for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:51 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 09:33:51 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:51 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:51 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R3DHV2T9Q991V7::Very cute!::entityRecognition for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:51 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 09:33:51 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:51 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:52 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R33DK4T6EHUIHX::Does a nice job of showing your child where different body parts are in a cute manner.  However, my one year old likes to lift the flaps himself and I also think this is a great way for him to be part of the story too.  The problem with this book is the flaps covering the different body parts are very flimsy and very easily ruined.  Compared to some other books out there, this one doesn't live up to expectations.  Youngsters are still figuring out motor skills and are anything but delicate at this stage.  I appreciate books that are made to last more than a couple reads...::sentimentAnalysis for localAppId 99c1de93c7e9e5d9 for inputIndex 0
LOCAL 2024-02-12 09:33:53 INFO  Worker:72 - Sentiment analysis result: 1
LOCAL 2024-02-12 09:33:53 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 09:33:53 INFO  SQSHandler:113 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 09:33:53 INFO  Worker:63 - Received task: 99c1de93c7e9e5d9::0::R3P2KOXRF7Z400::So cute and fun.::entityRecognition for localAppId 99c1de93c7e9e5d9 for inputIndex 0
