LOCAL 2024-02-12 10:07:31 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:31 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:31 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::R1IKZK5S0DCKZ0::My daughter loves lifting the flaps herself! She's almost a year. Great colorful pictures. I'm never disappointed with Karen Katz!::entityRecognition for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:31 INFO  Worker:79 - Named entity recognition result: Karen: PERSON, Katz: PERSON
LOCAL 2024-02-12 10:07:31 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:32 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:32 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::R1RUXYHCSZSHJ0::Cute lift-the-flap book. My 9 month old loves it!::sentimentAnalysis for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:32 INFO  Worker:72 - Sentiment analysis result: 2
LOCAL 2024-02-12 10:07:32 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:32 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:32 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::RJ62XWHGDIF7::As soon as I got this package, I gave it to my 18 month old son to open and he made me read it to him about a dozen times. He loves it! He's obsessed with his belly button, so this is the perfect book for him. He's also obsessed with peek-a-boo, so he loves lifting the flaps. It was a definite hit!::sentimentAnalysis for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:33 INFO  Worker:72 - Sentiment analysis result: 2
LOCAL 2024-02-12 10:07:33 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:33 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:33 INFO  Worker:63 - Received task: a49e7617bdffb467::0::R8OWCLDI0GGL0::Love Karen Katz::entityRecognition for localAppId a49e7617bdffb467 for inputIndex 0
LOCAL 2024-02-12 10:07:33 INFO  Worker:79 - Named entity recognition result: Karen: PERSON, Katz: PERSON
LOCAL 2024-02-12 10:07:34 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:35 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:35 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::R14D3WP6J91DCU::Super cute book. My son loves lifting the flaps.::entityRecognition for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:35 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 10:07:35 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
